,task,model,test_easy_accuracy,test_easy_f1_score,test_medium_accuracy,test_medium_f1_score,test_hard_accuracy,test_hard_f1_score
0,MotionSourceRecognition,lstm,0.9826±0.0000,0.9841±0.0008,0.9866±0.0020,0.9866±0.0021,0.9767±0.0033,0.9767±0.0032
1,MotionSourceRecognition,mlp,0.9862±0.0060,0.9872±0.0044,0.9917±0.0002,0.9917±0.0002,0.9791±0.0033,0.9791±0.0033
2,MotionSourceRecognition,patchtst,0.9835±0.0062,0.9861±0.0040,0.9893±0.0025,0.9893±0.0025,0.9894±0.0043,0.9896±0.0042
3,MotionSourceRecognition,resnet18,0.9964±0.0028,0.9966±0.0024,0.9957±0.0008,0.9957±0.0008,0.9948±0.0020,0.9950±0.0018
4,MotionSourceRecognition,timesformer1d,0.9830±0.0069,0.9839±0.0071,0.9848±0.0023,0.9849±0.0023,0.9807±0.0020,0.9809±0.0019
5,MotionSourceRecognition,transformer,0.9884±0.0069,0.9893±0.0062,0.9867±0.0018,0.9867±0.0018,0.9824±0.0041,0.9825±0.0043
6,MotionSourceRecognition,vit,0.9893±0.0023,0.9893±0.0023,0.9909±0.0011,0.9909±0.0011,0.9859±0.0049,0.9863±0.0047
7,FallDetection,lstm,0.9762±0.0052,0.9762±0.0052,0.6912±0.0563,0.6820±0.0519,0.6712±0.0296,0.6605±0.0403
8,FallDetection,mlp,0.9484±0.0085,0.9484±0.0085,0.7059±0.0961,0.7019±0.0991,0.6370±0.0237,0.6341±0.0225
9,FallDetection,patchtst,0.9713±0.0072,0.9713±0.0072,0.6176±0.0759,0.5631±0.1222,0.6267±0.0282,0.6136±0.0414
10,FallDetection,resnet18,0.9727±0.0032,0.9727±0.0032,0.7794±0.0563,0.7696±0.0646,0.6884±0.0304,0.6808±0.0358
11,FallDetection,timesformer1d,0.9658±0.0050,0.9659±0.0049,0.6765±0.0759,0.6455±0.1172,0.6575±0.0929,0.6119±0.1716
12,FallDetection,transformer,0.9708±0.0054,0.9708±0.0054,0.6912±0.0563,0.6810±0.0591,0.6507±0.0694,0.6389±0.0740
13,FallDetection,vit,0.9740±0.0042,0.9740±0.0042,0.7794±0.1304,0.7707±0.1446,0.6575±0.0371,0.6406±0.0666
14,BreathingDetection_Subset,lstm,0.9911±0.0017,0.9911±0.0017,0.9861±0.0013,0.9861±0.0013,0.9808±0.0028,0.9808±0.0028
15,BreathingDetection_Subset,mlp,0.9854±0.0014,0.9854±0.0014,0.9767±0.0015,0.9767±0.0015,0.9646±0.0013,0.9646±0.0013
16,BreathingDetection_Subset,patchtst,0.9920±0.0006,0.9920±0.0006,0.9877±0.0019,0.9877±0.0019,0.9849±0.0022,0.9849±0.0022
17,BreathingDetection_Subset,resnet18,0.9894±0.0017,0.9894±0.0017,0.9842±0.0016,0.9842±0.0016,0.9832±0.0025,0.9832±0.0025
18,BreathingDetection_Subset,timesformer1d,0.9905±0.0022,0.9905±0.0022,0.9829±0.0031,0.9829±0.0031,0.9860±0.0023,0.9860±0.0023
19,BreathingDetection_Subset,transformer,0.9823±0.0024,0.9823±0.0024,0.9731±0.0047,0.9731±0.0047,0.9754±0.0031,0.9754±0.0031
20,BreathingDetection_Subset,vit,0.9956±0.0008,0.9956±0.0008,0.9941±0.0008,0.9941±0.0008,0.9917±0.0011,0.9917±0.0011
21,Localization,lstm,0.9972±0.0032,0.9975±0.0029,1.0000±0.0000,1.0000±0.0000,0.9831±0.0050,0.9831±0.0050
22,Localization,mlp,0.9136±0.0093,0.9203±0.0082,0.9611±0.0131,0.9618±0.0129,0.8020±0.0106,0.8003±0.0119
23,Localization,patchtst,1.0000±0.0000,1.0000±0.0000,0.9990±0.0019,0.9995±0.0010,0.9986±0.0017,0.9986±0.0018
24,Localization,resnet18,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000
25,Localization,timesformer1d,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000,1.0000±0.0000
26,Localization,transformer,0.9930±0.0036,0.9940±0.0024,0.9990±0.0019,0.9990±0.0019,0.9895±0.0066,0.9895±0.0066
27,Localization,vit,0.9979±0.0042,0.9982±0.0035,0.9990±0.0019,0.9990±0.0019,0.9950±0.0023,0.9950±0.0023
