pipeline,task_name,model_name,experiment_id,learning_rate,weight_decay,batch_size,seed,test_hard_loss,test_hard_accuracy,test_hard_f1_score,test_medium_loss,test_medium_accuracy,test_medium_f1_score,test_loss,test_accuracy,test_f1_score,test_easy_loss,test_easy_accuracy,test_easy_f1_score,test_cross_device_loss,test_cross_device_accuracy,test_cross_device_f1_score,test_cross_env_loss,test_cross_env_accuracy,test_cross_env_f1_score,test_cross_user_loss,test_cross_user_accuracy,test_cross_user_f1_score
supervised,MotionSourceRecognition,mlp,params_54de1ed4,0.001,1e-05,128,11,0.0547982305722149,0.9796582587469488,0.9796865422872091,0.029537154709243608,0.9916666666666667,0.991660890354056,0.03519461323401103,0.987998753117207,0.9879959544015485,0.036568550619893926,0.9799196787148594,0.9831359059234304,,,,,,,,,
supervised,MotionSourceRecognition,mlp,params_a5f8d464,0.001,1e-05,128,3,0.060460653112682367,0.9755899104963385,0.9755381621518728,0.027077971011680028,0.9914414414414414,0.9914467164030722,0.032706760641632006,0.9884663341645885,0.9884687736207627,0.020500991578242547,0.9919678714859438,0.9919587695465536,,,,,,,,,
supervised,MotionSourceRecognition,mlp,params_bc0ca9cb,0.001,1e-05,128,42,0.04507979440840844,0.9820992676973149,0.9820992676973149,0.02782115911631774,0.9918918918918919,0.991885035017907,0.030961219529192292,0.9894014962593516,0.9894011030869657,0.02639646761847468,0.9866131191432396,0.986604669581135,,,,,,,,,
supervised,MotionSourceRecognition,lstm,params_3f6489b2,0.001,1e-05,128,42,0.07854217992271137,0.9804719283970708,0.9804218773138101,0.04876538460152546,0.988063063063063,0.9880745768293776,0.05698799635982021,0.9859725685785536,0.9859803255258179,0.07039937220882858,0.9825970548862115,0.984541571772948,,,,,,,,,
supervised,MotionSourceRecognition,lstm,params_77e9c041,0.001,1e-05,128,11,0.110225130031634,0.9747762408462164,0.975077418988629,0.055563676347423804,0.9873873873873874,0.9874058022519394,0.06775402990063358,0.9844139650872819,0.984434362824571,0.07033526336392724,0.9825970548862115,0.9845335636558099,,,,,,,,,
supervised,MotionSourceRecognition,lstm,params_e7d692b4,0.001,1e-05,128,3,0.10094739961649304,0.9747762408462164,0.97468294206916,0.057003324710659636,0.9842342342342343,0.98423469327105,0.06450747066899798,0.9822319201995012,0.9822430608456708,0.0491577220090741,0.9825970548862115,0.9832017269989807,,,,,,,,,
supervised,MotionSourceRecognition,resnet18,params_96405ad8,0.001,1e-05,128,42,0.022286679442635488,0.9926769731489016,0.9930727281790375,0.011212471824323942,0.9963963963963964,0.9963947948091587,0.015567413381106865,0.9953241895261845,0.9953239914735755,0.03039733973273152,0.9933065595716198,0.993965957594055,,,,,,,,,
supervised,MotionSourceRecognition,resnet18,params_b826dac9,0.001,1e-05,128,11,0.018878792095065506,0.9951179820992677,0.9951139349471192,0.014576260769804773,0.9948198198198198,0.9948202427645819,0.015845807140588992,0.9951683291770573,0.995168695941221,0.01840176714841062,0.9973226238286479,0.9973216632510126,,,,,,,,,
supervised,MotionSourceRecognition,resnet18,params_cff962b2,0.001,1e-05,128,3,0.014335755015548358,0.9967453213995118,0.9967453213995118,0.012229497207177652,0.995945945945946,0.9959454816746445,0.011949895014243195,0.9964152119700748,0.9964146212921091,0.006362675428589983,0.998661311914324,0.9986610749331678,,,,,,,,,
supervised,MotionSourceRecognition,transformer,params_391d91c9,0.001,1e-05,128,42,0.04235613428547287,0.9829129373474369,0.9829366955212556,0.044651187545890494,0.9855855855855856,0.9855932513081981,0.04311439401583147,0.9851932668329177,0.9851948552833381,0.03522755210368908,0.9866131191432396,0.9879425606086226,,,,,,,,,
supervised,MotionSourceRecognition,transformer,params_83376848,0.001,1e-05,128,3,0.05361838698193152,0.9780309194467046,0.9779290570722284,0.04898273258017447,0.9858108108108108,0.9858457416400768,0.05003157930860242,0.9839463840399002,0.983975765973951,0.05036449633847917,0.9825970548862115,0.9838997045637301,,,,,,,,,
supervised,MotionSourceRecognition,transformer,params_a647b896,0.001,1e-05,128,11,0.06278571572027451,0.9861676159479251,0.9865912407816396,0.04315287906839814,0.9887387387387387,0.9887791712858408,0.04330385006948775,0.9890897755610972,0.9891029559295282,0.012148695502933888,0.9959839357429718,0.9959825890073195,,,,,,,,,
supervised,MotionSourceRecognition,vit,params_5745ca62,0.001,1e-05,128,11,0.0457291551543577,0.985353946297803,0.986122784424844,0.03711805819777084,0.9896396396396396,0.9896470767548943,0.038070163788586596,0.9884663341645885,0.9884729641063176,0.03112832902665119,0.9866131191432396,0.986597949244256,,,,,,,,,
supervised,MotionSourceRecognition,vit,params_8cf82678,0.001,1e-05,128,42,0.03346621042134148,0.9910496338486574,0.9910365007747493,0.026273486225421097,0.9916666666666667,0.9916594985560874,0.02957863557344637,0.991427680798005,0.9914267669659292,0.042827679437785905,0.9906291834002677,0.9906204454889252,,,,,,,,,
supervised,MotionSourceRecognition,vit,params_f8ef6de9,0.001,1e-05,128,3,0.06275993927500906,0.9812855980471928,0.9816220509032343,0.027033870416349387,0.9914414414414414,0.9914437288208366,0.033170965595761354,0.9894014962593516,0.9894046362750857,0.020967290358969486,0.9906291834002677,0.9906166387997325,,,,,,,,,
supervised,MotionSourceRecognition,patchtst,params_392b619e,0.001,1e-05,128,3,0.02238329158651819,0.9943043124491456,0.9943031454777697,0.03108182667423174,0.9916666666666667,0.9916694691225616,0.03347298767717925,0.9908042394014963,0.9908095775807567,0.06593078866830393,0.9799196787148594,0.9831148046430508,,,,,,,,,
supervised,MotionSourceRecognition,patchtst,params_9ffaba58,0.001,1e-05,128,11,0.035559429609018964,0.9861676159479251,0.986153227721406,0.03206895866120855,0.9894144144144145,0.9894001429513668,0.038256357938975576,0.9876870324189526,0.9876893932163605,0.07947001480054823,0.9799196787148594,0.9844675992473102,,,,,,,,,
supervised,MotionSourceRecognition,patchtst,params_b505841b,0.001,1e-05,128,42,0.03627054218393792,0.9877949552481693,0.9882168580297139,0.04700288510218531,0.9867117117117117,0.9867086173268653,0.043746835526717334,0.9873753117206983,0.9873793887480616,0.03669396177971539,0.9906291834002677,0.9906204454889252,,,,,,,,,
supervised,MotionSourceRecognition,timesformer1d,params_13408736,0.001,1e-05,128,42,0.052242230936169524,0.9804719283970708,0.9804876266435179,0.04740415358714558,0.9842342342342343,0.98431093498917,0.049972303382537914,0.9826995012468828,0.9827166383459192,0.061502195505732035,0.9772423025435074,0.9771799453317789,,,,,,,,,
supervised,MotionSourceRecognition,timesformer1d,params_46462543,0.001,1e-05,128,11,0.05657244256589231,0.9829129373474369,0.9829366955212556,0.059382073930359804,0.9873873873873874,0.9873724215314337,0.06014894347309766,0.9858167082294265,0.9858115362015747,0.07059126997857768,0.9812583668005355,0.9832097283388145,,,,,,,,,
supervised,MotionSourceRecognition,timesformer1d,params_e62a59b9,0.001,1e-05,128,3,0.06816885642331484,0.9788445890968267,0.9791874239696022,0.06577943625843136,0.9828828828828828,0.9829470207277157,0.06342602467146688,0.9830112219451371,0.9830377063916278,0.041634744190307986,0.9906291834002677,0.9912866310541986,,,,,,,,,
supervised,BreathingDetection_Subset,mlp,params_389aead5,0.001,1e-05,128,3,0.12074090334135383,0.96484375,0.9648544992897093,0.08359248800734288,0.9786780383795309,0.9786829063000965,0.08442737209885849,0.9758779236356367,0.975876541495552,0.052235133935941015,0.9837627956230145,0.9837697835737117,,,,,,,,,
supervised,BreathingDetection_Subset,mlp,params_7c77bd50,0.001,1e-05,128,99,0.12739994835245871,0.9654296875,0.9654423365392326,0.08154739161359927,0.9770196635868278,0.9770202680434482,0.08451435372459405,0.9768774571866462,0.9768678879295186,0.04797168569251334,0.9871161313095659,0.9871155716356912,,,,,,,,,
supervised,BreathingDetection_Subset,mlp,params_b6406f90,0.001,1e-05,128,42,0.11848546438776172,0.9654296875,0.9654433479267354,0.08254827044731859,0.9753612887941246,0.9753617236228023,0.08271965579281909,0.9758779236356367,0.9758640657998149,0.050528071659062895,0.9857042004941757,0.9856985736005817,,,,,,,,,
supervised,BreathingDetection_Subset,mlp,params_d4987863,0.001,1e-05,128,11,0.1246059473100666,0.9626953125,0.9627102747350204,0.0813650245852639,0.9755981994787964,0.9755996586166804,0.08363530219130082,0.9748117545145599,0.9747976131535186,0.048304054672055834,0.9851747264384045,0.9851708460521592,,,,,,,,,
supervised,BreathingDetection_Subset,lstm,params_04a90ae0,0.001,1e-05,128,99,0.07470583523766602,0.9822265625,0.9822314794924946,0.0466579151338662,0.9860222696043591,0.9860202185126317,0.054992174447700014,0.9859398947157993,0.9859344298899886,0.043386979105109344,0.9892340275326509,0.9892316812612686,,,,,,,,,
supervised,BreathingDetection_Subset,lstm,params_223749b3,0.001,1e-05,128,42,0.07977734324721357,0.9830078125,0.9830126611784603,0.05222482554711122,0.9874437337123905,0.9874438452177742,0.05580733797018795,0.988072232957953,0.9880684872932594,0.03681604886246547,0.9931168372749736,0.9931147336279647,,,,,,,,,
supervised,BreathingDetection_Subset,lstm,params_982f3227,0.001,1e-05,128,3,0.08395193399412904,0.98125,0.9812569055174052,0.051239604192198904,0.9867330016583747,0.9867311951238856,0.057467496754285176,0.9868061571266742,0.9867984046244599,0.03817479823511945,0.9918813978115072,0.9918778442473489,,,,,,,,,
supervised,BreathingDetection_Subset,lstm,params_e5cb6e08,0.001,1e-05,128,11,0.0782217801861563,0.9767578125,0.97676693647318,0.046392216463493986,0.984363894811656,0.9843617656817223,0.053189647726442024,0.9839408276137802,0.9839302241997876,0.03563360125915449,0.9901164842922697,0.9901130292463902,,,,,,,,,
supervised,BreathingDetection_Subset,resnet18,params_6653c7cc,0.001,1e-05,128,11,0.05288877479761141,0.98515625,0.9851602902329205,0.03986393987207553,0.9838900734423123,0.9838921446212323,0.04052432494758944,0.9868061571266742,0.9868046331940875,0.029843334909732313,0.9904694669961172,0.99047275387824,,,,,,,,,
supervised,BreathingDetection_Subset,resnet18,params_b745243f,0.001,1e-05,128,42,0.052231421606848016,0.98125,0.9812569055174052,0.04605348156604036,0.9819947879649372,0.9819954153659883,0.04491251227433799,0.9836076497634437,0.9836003466159924,0.037448899550879544,0.9869396399576421,0.9869362215221402,,,,,,,,,
supervised,BreathingDetection_Subset,resnet18,params_bf12c296,0.001,1e-05,128,3,0.049015835157842955,0.985546875,0.9855505397696073,0.04155238165796594,0.9853115375503435,0.9853134259781823,0.04118587255850633,0.9873392416872127,0.9873373316517923,0.033837382348817786,0.9904694669961172,0.9904686382856713,,,,,,,,,
supervised,BreathingDetection_Subset,resnet18,params_c2b2f53b,0.001,1e-05,128,99,0.06361977664346341,0.980859375,0.9808665119162991,0.04209249895405809,0.9855484482350154,0.9855490736279613,0.04631828799066311,0.9855400812953955,0.9855337309464022,0.03383212123017533,0.9897635015884222,0.9897617183880054,,,,,,,,,
supervised,BreathingDetection_Subset,transformer,params_2a909648,0.001,1e-05,128,42,0.09349651742848461,0.97421875,0.9742090501978599,0.1047023928334732,0.9696754323619995,0.9696861728385971,0.08926281118270914,0.9754114746451656,0.9754335255590154,0.07393505692966466,0.9807624426403106,0.9808167228945514,,,,,,,,,
supervised,BreathingDetection_Subset,transformer,params_4b62da0f,0.001,1e-05,128,3,0.07082070026722427,0.97890625,0.9789005408582169,0.0878814527598295,0.9744136460554371,0.9744226961972046,0.0694483877212843,0.9798094222696075,0.9798262094389086,0.05447623848184276,0.9846452523826332,0.9846802138357983,,,,,,,,,
supervised,BreathingDetection_Subset,transformer,params_9f644081,0.001,1e-05,128,11,0.07981262477280779,0.971875,0.9718556850816759,0.10043388911312537,0.9689647003079839,0.968975691827607,0.08100023479189865,0.9740121276737522,0.9740387478747113,0.06759591424286236,0.979703494528768,0.9797607626869119,,,,,,,,,
supervised,BreathingDetection_Subset,transformer,params_bc0df41c,0.001,1e-05,128,99,0.07020374508967109,0.9767578125,0.9767535776624774,0.0746258617954208,0.9791518597488746,0.9791586131188728,0.06562358879858299,0.980142600119944,0.9801555754228515,0.05477837039570238,0.9839392869749383,0.9839733149770388,,,,,,,,,
supervised,BreathingDetection_Subset,vit,params_71ea36b7,0.001,1e-05,128,42,0.0361686383952474,0.9908203125,0.9908216747172478,0.02674995244363068,0.9931295901445155,0.9931298874624735,0.02746036529813828,0.9932031718531352,0.9932023069335221,0.020120494725479176,0.9954112248499823,0.9954100237780492,,,,,,,,,
supervised,BreathingDetection_Subset,vit,params_93c00d5f,0.001,1e-05,128,11,0.03306242169765028,0.9921875,0.9921888964746772,0.019353247235501102,0.9950248756218906,0.9950250064836331,0.02353356473433869,0.9945358832544813,0.9945346671458959,0.01803716145525859,0.9962936816096011,0.9962912379570821,,,,,,,,,
supervised,BreathingDetection_Subset,vit,params_9c33e8b1,0.001,1e-05,128,99,0.03655204656015485,0.99296875,0.9929693753160246,0.023268854938905525,0.994314143567875,0.9943144369129815,0.029264204144986605,0.9939361631238756,0.9939359204909494,0.027145006021706962,0.9945287680903636,0.994528530420636,,,,,,,,,
supervised,BreathingDetection_Subset,vit,params_e0ff8eff,0.001,1e-05,128,3,0.038431597633461934,0.990625,0.9906271910981268,0.024356900088822665,0.9938403221985311,0.9938394834503755,0.02580677447783477,0.993602985273539,0.9936006190729307,0.015478646763535647,0.9961171902576774,0.9961151473914754,,,,,,,,,
supervised,BreathingDetection_Subset,patchtst,params_1df5d4de,0.001,1e-05,128,99,0.06629881918179308,0.9876953125,0.9876977247441916,0.04624297750045432,0.9900497512437811,0.9900493865746975,0.049640873161679366,0.9902045712001066,0.9902019754869154,0.03711949141121292,0.9925873632192023,0.992583463201908,,,,,,,,,
supervised,BreathingDetection_Subset,patchtst,params_93063061,0.001,1e-05,128,11,0.07630810637165268,0.984375,0.9843792528767586,0.0447331442797962,0.9886282871357498,0.9886274330883396,0.052587408973462,0.9884720463783567,0.9884669836577308,0.03700373098523771,0.992057889163431,0.9920505213133474,,,,,,,,,
supervised,BreathingDetection_Subset,patchtst,params_9716e813,0.001,1e-05,128,42,0.06434976021191688,0.98515625,0.9851600138174345,0.04876501900244313,0.986259180289031,0.9862603308501757,0.04963161842855644,0.9877390551076164,0.987737205389104,0.03697736822417157,0.9911754324038122,0.9911769592823177,,,,,,,,,
supervised,BreathingDetection_Subset,patchtst,params_ca4fad74,0.001,1e-05,128,3,0.07473518340120791,0.982421875,0.9824245929057088,0.054741760523002655,0.9860222696043591,0.9860253854588684,0.053786736839609335,0.9871393349770107,0.9871396990438911,0.034145505883870005,0.9922343805153547,0.9922330277426248,,,,,,,,,
supervised,BreathingDetection_Subset,timesformer1d,params_541575ea,0.001,1e-05,128,99,0.08467558958445806,0.9859375,0.9859342575255223,0.10325812783259505,0.980573323856906,0.9805795099959591,0.07545130903082244,0.9867395215566069,0.9867462680374302,0.046400673790350046,0.992057889163431,0.9920636652288446,,,,,,,,,
supervised,BreathingDetection_Subset,timesformer1d,params_8a6d1d43,0.001,1e-05,128,3,0.0755081929572043,0.9828125,0.9828101667407093,0.08316411938649787,0.980573323856906,0.980578156050684,0.06818489054254052,0.9842740054641167,0.984281778924454,0.05040821989255596,0.9883515707730322,0.988372054934973,,,,,,,,,
supervised,BreathingDetection_Subset,timesformer1d,params_a618459f,0.001,1e-05,128,11,0.050237273485254266,0.9876953125,0.9876961459562889,0.05189041719299531,0.9872068230277186,0.9872070488041472,0.04380286805079095,0.9894715799293663,0.9894716994336928,0.031963528026718195,0.992763854571126,0.9927666597313402,,,,,,,,,
supervised,BreathingDetection_Subset,timesformer1d,params_dda68b66,0.001,1e-05,128,42,0.08519610346884292,0.9876953125,0.9876964918667287,0.086938401684165,0.9831793413882967,0.9831797838256167,0.07841353411595237,0.9868727926967416,0.9868733121203274,0.06593379397233837,0.9888810448288033,0.9888891313203826,,,,,,,,,
supervised,Localization,mlp,params_70f739b6,0.001,1e-05,128,99,0.6402594677723237,0.8065693430656934,0.80510247695896,0.17804846271920238,0.9571984435797666,0.9594953027043929,0.4491624356713547,0.8742463393626184,0.8720211041678521,0.350720792506518,0.9185393258426966,0.9252262105995823,,,,,,,,,
supervised,Localization,mlp,params_80d977c2,0.001,1e-05,128,42,0.6715819313578362,0.7864963503649635,0.7831116489864154,0.12491361311076758,0.953307392996109,0.9535103042578658,0.45900022062456153,0.859603789836348,0.8566019642480561,0.37294817941912106,0.9044943820224719,0.912595425932394,,,,,,,,,
supervised,Localization,mlp,params_c7b3c087,0.001,1e-05,128,3,0.6570680289372911,0.8102189781021898,0.8102394403678641,0.1351657326578951,0.953307392996109,0.9534767715630266,0.4212224412677187,0.8768303186907838,0.8747091233081837,0.26468643043818096,0.9241573033707865,0.9292625837569658,,,,,,,,,
supervised,Localization,mlp,params_feff1e0d,0.001,1e-05,128,11,0.6782635920239191,0.8047445255474452,0.8026773520567371,0.09959523499507777,0.980544747081712,0.9806625830639465,0.4552454057818501,0.8751076658053403,0.8725259112826884,0.36869525574566275,0.9073033707865169,0.9139966102852604,,,,,,,,,
